//id|editableType|itemCategory|actionType|hitsoundType|name|textureName|textureHash|itemKind|val1|textureX|textureY|spreadType|isStripeyWallpaper|collisionType|breakHits|dropChance|clothingType|rarity|maxAmount|extraFile|extraFileHash|audioVolume|petName|petPrefix|petSuffix|petAbility|seedBase|seedOverlay|treeBase|treeLeaves|seedColor|seedOverlayColor|unkval1|growTime|val2|isRayman|extraOptions|texture2|extraOptions2|punchOptions

version|14
item_count|11870


22|0|0|17|0|Daisy|tiles_page1.rttex|91467596|0|-1|3|1|1|0|0|18|4|0|3|200|player_tribute.txt|0|200|||||0|0|0|0|-1|-1|0|0|0|0||||
23|0|0|19|0|Daisy Seed|tiles_page1.rttex|91467596|0|-1|3|1|1|0|0|120|2|0|3|200||0|400|||||11|6|3|6|1358909695|16777215|0|117|0|0||||
24|3|0|10|0|Pointy Sign|tiles_page1.rttex|91467596|0|-1|22|0|1|0|0|24|8|0|4|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
25|0|0|19|0|Pointy Sign Seed|tiles_page1.rttex|91467596|0|-1|22|0|1|0|0|120|2|0|4|200||0|400|||||12|8|4|0|1166908927|1958595839|0|184|0|0||||
26|3|0|10|0|Crappy Sign|tiles_page1.rttex|91467596|0|-1|24|0|1|0|0|24|8|0|3|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
27|0|0|19|0|Crappy Sign Seed|tiles_page1.rttex|91467596|0|-1|24|0|1|0|0|120|2|0|3|200||0|400|||||13|10|5|2|725901823|-1834434305|0|117|0|0||||
28|3|0|10|0|Danger Sign|tiles_page1.rttex|91467596|0|-1|23|0|1|0|0|24|8|0|5|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
29|0|0|19|0|Danger Sign Seed|tiles_page1.rttex|91467596|0|-1|23|0|1|0|0|120|2|0|5|200||0|400|||||14|12|6|4|725901823|-1834434305|0|275|0|0||||
30|2|0|2|0|Dungeon Door|tiles_page1.rttex|91467596|0|-1|19|1|1|0|0|24|8|0|8|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
31|0|0|19|0|Dungeon Door Seed|tiles_page1.rttex|91467596|0|-1|19|1|1|0|0|120|2|0|8|200||0|400|||||15|14|7|6|946576127|-1027423489|0|752|0|0||||
32|0|128|1|0|Wrench|tiles_page1.rttex|91467596|0|-1|31|1|1|0|0|24|8|0|999|0||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
33|0|0|19|0|Wrench Seed|tiles_page1.rttex|91467596|0|-1|31|1|1|0|0|120|2|0|999|200||0|400|||||0|0|0|0|-2034616321|72855807|0|3600|0|0||||
34|4|0|20|1|Shades|player_faceitem.rttex|-1870954923|0|-1|1|0|1|0|1|0|0|4|6|200|game/player_severedhead.rttex|1916061617|200|||||0|0|0|0|-1|-1|0|0|0|0||||
35|4|0|19|1|Shades Seed|player_faceitem.rttex|-1870954923|0|-1|1|0|1|0|0|120|2|4|6|200||0|400|||||1|2|1|2|943208703|-875836417|0|396|0|0||||
36|4|0|20|1|Green Shirt|player_shirt.rttex|-1894363260|0|-1|1|0|1|0|1|0|0|1|7|200|interface/large/gui_shop_winter_rally.rttex|-1484028308|200|||||0|0|0|0|-1|-1|0|0|0|0||||
37|4|0|19|1|Green Shirt Seed|player_shirt.rttex|-1894363260|0|-1|1|0|1|0|0|120|2|1|7|200||0|400|||||2|4|2|4|915165695|1103457023|0|553|0|0||||
38|4|0|20|0|Tuxedo|player_shirt.rttex|-1894363260|0|-1|2|0|1|0|1|0|0|1|7|200|interface/large/gui_shop_winter_seals.rttex|1831589490|200|||||0|0|0|0|-1|-1|0|0|0|0||||
39|4|0|19|0|Tuxedo Seed|player_shirt.rttex|-1894363260|0|-1|2|0|1|0|0|120|2|1|7|200||0|400|||||3|6|3|6|1329936895|-1|0|553|0|0||||
40|4|0|20|1|Brown Shoes|player_feet.rttex|-2125665677|0|-1|1|0|1|0|1|0|0|3|5|200|interface/large/btn_passtabs.rttex|1905346277|200|||||0|0|0|0|-1|-1|0|0|0|0||||
41|4|0|19|1|Brown Shoes Seed|player_feet.rttex|-2125665677|0|-1|1|0|1|0|0|120|2|3|5|200||0|400|||||4|8|4|0|776232703|911505151|0|275|0|0||||
42|4|0|20|1|Boots|player_feet.rttex|-2125665677|0|-1|2|0|1|0|1|0|0|3|5|200|interface/large/gui_shop_grow_pass_buy.rttex|-1424984986|200|||||0|0|0|0|-1|-1|0|0|0|0||||
43|4|0|19|1|Boots Seed|player_feet.rttex|-2125665677|0|-1|2|0|1|0|0|120|2|3|5|200||0|400|||||5|10|5|2|993737727|1212696831|0|275|0|0||||
44|4|0|20|1|Red Hair|player_hairhair.rttex|1325666068|0|-1|2|3|1|0|1|0|0|7|6|200|interface/large/gui_shop_grow_pass.rttex|675211445|200|||||0|0|0|0|-1|-1|0|0|0|0||||
45|4|0|19|1|Red Hair Seed|player_hairhair.rttex|1325666068|0|-1|2|3|1|0|0|120|2|7|6|200||0|400|||||6|12|6|4|119472127|7011583|0|396|0|0||||
46|4|0|20|1|Baseball Cap|player_hair.rttex|-1992647066|0|-1|2|0|1|0|1|0|0|0|13|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
47|4|0|19|1|Baseball Cap Seed|player_hair.rttex|-1992647066|0|-1|2|0|1|0|0|120|2|0|13|200||0|400|||||7|14|7|6|436179455|1575944191|0|2587|0|0||||
48|4|0|20|1|Jeans|player_pants.rttex|2146324125|0|-1|1|0|1|0|1|0|0|2|6|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
49|4|0|19|1|Jeans Seed|player_pants.rttex|2146324125|0|-1|1|0|1|0|0|120|2|2|6|200||0|400|||||8|0|0|0|-2023931905|911505151|0|396|0|0||||
50|4|0|20|1|Sexy Boxers|player_pants.rttex|2146324125|0|-1|2|0|1|0|1|0|0|2|18|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
51|4|0|19|1|Sexy Boxers Seed|player_pants.rttex|2146324125|0|-1|2|0|1|0|0|120|2|2|18|200||0|400|||||9|2|1|2|-1|-2121793537|0|6372|0|0||||
52|0|0|18|0|Wooden Background|tiles_page1.rttex|91467596|0|-1|0|20|2|0|0|18|4|0|4|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
53|0|0|19|0|Wooden Background Seed|tiles_page1.rttex|91467596|0|-1|0|20|2|0|0|120|2|0|4|200||0|400|||||10|4|2|4|1265801215|1350544639|0|184|0|0||||
54|0|0|18|1|Window|tiles_page1.rttex|91467596|0|-1|7|1|1|0|0|12|1|0|6|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
55|0|0|19|1|Window Seed|tiles_page1.rttex|91467596|0|-1|7|1|1|0|0|120|2|0|6|200||0|400|||||11|6|3|6|-321419695|-471671809|0|396|0|0||||
56|0|0|18|1|Glass Pane|tiles_page1.rttex|91467596|0|-1|8|1|1|0|0|12|1|0|2|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
57|0|0|19|1|Glass Pane Seed|tiles_page1.rttex|91467596|0|-1|8|1|1|0|0|120|2|0|2|200||0|400|||||12|8|4|0|-321419695|-106|0|68|0|0||||
58|0|0|18|1|Wooden Window|tiles_page1.rttex|91467596|0|-1|9|1|1|0|0|12|1|0|10|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
59|0|0|19|1|Wooden Window Seed|tiles_page1.rttex|91467596|0|-1|9|1|1|0|0|120|2|0|10|200||0|400|||||13|10|5|2|-321422255|1265801215|0|1300|0|0||||
60|2|0|9|3|Portcullis|tiles_page1.rttex|91467596|0|-1|14|0|1|0|3|60|5|0|16|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
61|0|0|19|3|Portcullis Seed|tiles_page1.rttex|91467596|0|-1|14|0|1|0|0|120|2|0|16|200||0|400|||||14|12|6|4|-1145324545|-488447233|0|4576|0|0||||
62|3|0|12|3|Boombox|tiles_page1.rttex|91467596|0|-1|0|1|1|0|0|60|5|0|39|200|audio/mp3/boombox.mp3|-269583728|400|||||0|0|0|0|-1|-1|0|0|0|0||||
63|0|0|19|3|Boombox Seed|tiles_page1.rttex|91467596|0|-1|0|1|1|0|0|120|2|0|39|200||0|400|||||15|14|7|6|1869574143|-1872413441|0|60489|0|0||||
64|3|0|12|0|Olde Timey Radio|tiles_page1.rttex|91467596|0|-1|0|2|1|0|1|60|5|0|15|200|audio/mp3/old_timey.mp3|912813198|400|||||0|0|0|0|-1|-1|0|0|0|0||||
65|0|0|19|0|Olde Timey Radio Seed|tiles_page1.rttex|91467596|0|-1|0|2|1|0|0|120|2|0|15|200||0|400|||||0|0|0|0|610125567|1391591423|0|3825|0|0||||
66|4|0|20|1|Top Hat|player_hair.rttex|-1992647066|0|-1|3|0|1|0|1|0|0|0|7|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
67|4|0|19|1|Top Hat Seed|player_hair.rttex|-1992647066|0|-1|3|0|1|0|0|120|2|0|7|200||0|400|||||1|2|1|2|724249599|-1785358849|0|553|0|0||||
68|4|0|20|1|Brown Hair|player_hairhair.rttex|1325666068|0|-1|7|6|1|0|1|0|0|7|5|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
69|4|0|19|1|Brown Hair Seed|player_hairhair.rttex|1325666068|0|-1|7|6|1|0|0|120|2|7|5|200||0|400|||||2|4|2|4|743932159|862625279|0|275|0|0||||
70|4|0|20|1|Spikey Hair|player_hairhair.rttex|1325666068|0|-1|6|1|1|0|1|0|0|7|14|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
71|4|0|19|1|Spikey Hair Seed|player_hairhair.rttex|1325666068|0|-1|6|1|1|0|0|120|2|7|14|200||0|400|||||3|6|3|6|500953599|971374591|0|3164|0|0||||
72|4|0|20|1|Afro|player_hairhair.rttex|1325666068|0|-1|7|1|1|0|1|0|0|7|13|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
73|4|0|19|1|Afro Seed|player_hairhair.rttex|1325666068|0|-1|7|1|1|0|0|120|2|7|13|200||0|400|||||4|8|4|0|757935615|488447487|0|2587|0|0||||
74|4|0|20|1|Ski Cap|player_hair.rttex|-1992647066|0|-1|7|0|1|0|1|0|0|0|18|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
75|4|0|19|1|Ski Cap Seed|player_hair.rttex|-1992647066|0|-1|7|0|1|0|0|120|2|0|18|200||0|400|||||5|10|5|2|-1636418817|-1064286465|0|6372|0|0||||
76|4|0|20|1|Black Pants|player_pants.rttex|2146324125|0|-1|3|0|1|0|1|0|0|2|6|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
77|4|0|19|1|Black Pants Seed|player_pants.rttex|2146324125|0|-1|3|0|1|0|0|120|2|2|6|200||0|400|||||6|12|6|4|1329936895|421075455|0|396|0|0||||
78|4|0|20|1|Patent Leather Shoes|player_feet.rttex|-2125665677|0|-1|3|0|1|0|1|0|0|3|11|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
79|4|0|19|1|Patent Leather Shoes Seed|player_feet.rttex|-2125665677|0|-1|3|0|1|0|0|120|2|3|11|200||0|400|||||7|14|7|6|255|2122219263|0|1661|0|0||||
80|4|0|20|1|Ruby Slippers|player_feet.rttex|-2125665677|0|-1|4|0|1|0|1|0|0|3|49|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
81|4|0|19|1|Ruby Slippers Seed|player_feet.rttex|-2125665677|0|-1|4|0|1|0|0|120|2|3|49|200||0|400|||||8|0|0|0|505331967|488435199|0|119119|0|0||||
82|4|0|20|1|Green Skirt|player_pants.rttex|2146324125|0|-1|4|0|1|0|1|0|0|2|11|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
83|4|0|19|1|Green Skirt Seed|player_pants.rttex|2146324125|0|-1|4|0|1|0|0|120|2|2|11|200||0|400|||||9|2|1|2|1255036159|967656191|0|1661|0|0||||
84|4|0|20|1|Green Blouse|player_shirt.rttex|-1894363260|0|-1|3|0|1|0|1|0|0|1|14|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
85|4|0|19|1|Green Blouse Seed|player_shirt.rttex|-1894363260|0|-1|3|0|1|0|0|120|2|1|14|200||0|400|||||10|4|2|4|1255036159|1859942399|0|3164|0|0||||
86|4|0|20|1|Purple Thong|player_pants.rttex|2146324125|0|-1|5|0|1|0|1|0|0|2|24|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
87|4|0|19|1|Purple Thong Seed|player_pants.rttex|2146324125|0|-1|5|0|1|0|0|120|2|2|24|200||0|400|||||11|6|3|6|-1524132865|-582760705|0|14544|0|0||||
88|4|0|20|1|Purple Bikini Top|player_shirt.rttex|-1894363260|0|-1|4|0|1|0|1|0|0|1|22|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
89|4|0|19|1|Purple Bikini Top Seed|player_shirt.rttex|-1894363260|0|-1|4|0|1|0|0|120|2|1|22|200||0|400|||||12|8|4|0|-1524132865|-582760705|0|11308|0|0||||
90|4|0|20|1|Blonde Bombshell|player_hairhair.rttex|1325666068|0|-1|6|6|1|0|1|0|0|7|8|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
91|4|0|19|1|Blonde Bombshell Seed|player_hairhair.rttex|1325666068|0|-1|6|6|1|0|0|120|2|7|8|200||0|400|||||13|10|5|2|734262783|953481471|0|752|0|0||||
92|4|0|20|1|Briefcase|player_handitem.rttex|132138220|0|-1|1|0|1|0|1|0|0|5|14|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
93|4|0|19|1|Briefcase Seed|player_handitem.rttex|132138220|0|-1|1|0|1|0|0|120|2|5|14|200||0|400|||||14|12|6|4|943208703|1566399999|0|3164|0|0||||
94|4|0|20|1|Sword|player_handitem.rttex|132138220|0|-1|2|0|1|0|1|0|0|5|11|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
95|4|0|19|1|Sword Seed|player_handitem.rttex|132138220|0|-1|2|0|1|0|0|120|2|5|11|200||0|400|||||15|14|7|6|-488447233|1455742207|0|1661|0|0||||
96|4|0|20|1|Just One Boxing Glove|player_handitem.rttex|132138220|0|-1|3|0|1|0|1|0|0|5|16|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
97|4|0|19|1|Just One Boxing Glove Seed|player_handitem.rttex|132138220|0|-1|3|0|1|0|0|120|2|5|16|200||0|400|||||0|0|0|0|387379199|-454761217|0|4576|0|0||||
98|4|0|20|1|Pickaxe|player_handitem.rttex|132138220|0|-1|4|0|1|0|1|0|0|5|17|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
99|4|0|19|1|Pickaxe Seed|player_handitem.rttex|132138220|0|-1|4|0|1|0|0|120|2|5|17|200||0|400|||||1|2|1|2|760840191|-640034305|0|5423|0|0||||
100|0|0|17|0|Wood Block|tiles_page1.rttex|91467596|0|-1|12|1|1|0|1|18|4|0|2|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
101|0|0|19|0|Wood Block Seed|tiles_page1.rttex|91467596|0|-1|12|1|1|0|0|120|2|0|2|200||0|400|||||2|4|2|4|980856575|-1899497217|0|68|0|0||||
102|0|0|14|0|Wooden Platform|tiles_page1.rttex|91467596|0|-1|0|8|3|0|2|18|8|0|4|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
103|0|0|19|0|Wooden Platform Seed|tiles_page1.rttex|91467596|0|-1|0|8|3|0|0|120|2|0|4|200||0|400|||||3|6|3|6|525566975|-1983711489|0|184|0|0||||
104|0|0|18|2|Rock Background|tiles_page1.rttex|91467596|0|-1|16|26|2|0|0|18|8|0|3|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
105|0|0|19|2|Rock Background Seed|tiles_page1.rttex|91467596|0|-1|16|26|2|0|0|120|2|0|3|200||0|400|||||4|8|4|0|-2071888129|-1718251009|0|117|0|0||||
106|1|0|11|2|Toilet|tiles_page1.rttex|91467596|0|-1|30|0|1|0|0|60|5|0|7|200|audio/toilet_flush.wav|-1694847905|3500|||||0|0|0|0|-1|-1|0|0|0|0||||
107|0|0|19|2|Toilet Seed|tiles_page1.rttex|91467596|0|-1|30|0|1|0|0|120|2|0|7|200||0|400|||||5|10|5|2|-842151425|-319952129|0|553|0|0||||
108|0|0|18|0|Painting: Yerfdog|tiles_page1.rttex|91467596|0|-1|18|0|1|0|0|18|8|0|10|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
109|0|0|19|0|Painting: Yerfdog Seed|tiles_page1.rttex|91467596|0|-1|18|0|1|0|0|120|2|0|10|200||0|400|||||6|12|6|4|-372279297|-1|0|1300|0|0||||
110|0|0|18|0|Painting: Dink Duck|tiles_page1.rttex|91467596|0|-1|19|0|1|0|0|18|8|0|10|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
111|0|0|19|0|Painting: Dink Duck Seed|tiles_page1.rttex|91467596|0|-1|19|0|1|0|0|120|2|0|10|200||0|400|||||7|14|7|6|1215191551|-977425409|0|1300|0|0||||
112|20|0|4|0|Gems|tiles_page1.rttex|91467596|0|-1|22|1|1|0|0|18|8|0|999|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
113|0|0|19|0|Gems Seed|tiles_page1.rttex|91467596|0|-1|22|1|1|0|0|120|2|0|999|200||0|400|||||8|0|0|0|1207308287|2041540095|0|3600|0|0||||
114|2|0|12|1|Disco Ball|tiles_page1.rttex|91467596|35|-1|0|3|1|0|0|60|5|0|45|200|audio/mp3/loop_disco.mp3|1767457050|100|||||0|0|0|0|-1|-1|0|0|0|0||||
115|0|0|19|1|Disco Ball Seed|tiles_page1.rttex|91467596|0|-1|0|3|1|0|0|120|2|0|45|200||0|400|||||9|2|1|2|-1|-2139062017|0|92475|0|0||||
116|0|0|17|2|Bricks|tiles_page1.rttex|91467596|0|-1|8|26|2|0|1|30|8|0|3|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
117|0|0|19|2|Bricks Seed|tiles_page1.rttex|91467596|0|-1|8|26|2|0|0|120|2|0|3|200||0|400|||||10|4|2|4|509788159|525592831|0|117|0|0||||
118|0|0|18|2|Brick Background|tiles_page1.rttex|91467596|0|-1|13|1|1|0|1|24|8|0|7|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
119|0|0|19|2|Brick Background Seed|tiles_page1.rttex|91467596|0|-1|13|1|1|0|0|120|2|0|7|200||0|400|||||11|6|3|6|372464895|372076287|0|553|0|0||||
120|20|0|5|3|Mystery Block|tiles_page1.rttex|91467596|0|-1|21|1|1|0|1|18|8|0|80|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
121|4|0|19|3|Mystery Block Seed|tiles_page1.rttex|91467596|0|-1|21|1|1|0|0|120|2|0|80|200||0|400|||||12|8|4|0|198115327|-537133057|0|514400|0|0||||
122|4|0|20|1|Red Riding Hood|player_hair.rttex|-1992647066|0|-1|1|1|1|0|1|0|0|0|7|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
123|4|0|19|1|Red Riding Hood Seed|player_hair.rttex|-1992647066|0|-1|1|1|1|0|0|120|2|0|7|200||0|400|||||13|10|5|2|623171583|1448537855|0|553|0|0||||
124|4|0|20|1|Red Coat|player_shirt.rttex|-1894363260|0|-1|5|0|1|0|1|0|0|1|13|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
125|4|0|19|1|Red Coat Seed|player_shirt.rttex|-1894363260|0|-1|5|0|1|0|0|120|2|1|13|200||0|400|||||14|12|6|4|623171839|1448537855|0|2587|0|0||||
126|0|0|8|0|Devil Horns|player_hairhair.rttex|1325666068|0|-1|4|1|1|0|0|12|2|0|9|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
127|0|0|19|0|Devil Horns Seed|player_hairhair.rttex|1325666068|0|-1|4|1|1|0|0|120|2|0|9|200||0|400|||||15|14|7|6|65535|33023|0|999|0|0||||
128|0|0|8|0|Golden Halo|player_hair.rttex|-1992647066|0|-1|5|1|1|0|0|12|2|0|51|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
129|0|0|19|0|Golden Halo Seed|player_hair.rttex|-1992647066|0|-1|5|1|1|0|0|120|2|0|51|200||0|400|||||0|0|0|0|16777215|-1|0|134181|0|0||||
130|4|0|20|1|Hot Head|player_hairhair.rttex|1325666068|4|-1|2|1|1|0|1|0|0|7|5|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
131|4|0|19|1|Hot Head Seed|player_hairhair.rttex|1325666068|0|-1|2|1|1|0|0|120|2|7|5|200||0|400|||||1|2|1|2|65535|16777215|0|275|0|0||||
132|4|0|20|1|Brainwave Capacitor|player_hair.rttex|-1992647066|4|-1|6|1|1|0|1|0|0|0|21|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
133|4|0|19|1|Brainwave Capacitor Seed|player_hair.rttex|-1992647066|0|-1|6|1|1|0|0|120|2|0|21|200||0|400|||||2|4|2|4|265289727|-101891073|0|9891|0|0||||
134|4|32|20|1|TV Head|player_hairhair.rttex|1325666068|4|-1|3|5|1|0|1|0|0|7|17|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
135|4|0|19|1|TV Head Seed|player_hairhair.rttex|1325666068|0|-1|3|5|1|0|0|120|2|7|17|200||0|400|||||3|6|3|6|978282751|-254447543|0|5423|0|0||||
136|4|0|20|1|Fairy Crown|player_hair.rttex|-1992647066|0|-1|2|2|1|0|1|0|0|0|47|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
137|4|0|19|1|Fairy Crown Seed|player_hair.rttex|-1992647066|0|-1|2|2|1|0|0|120|2|0|47|200||0|400|||||4|8|4|0|-488726785|-292098817|0|105233|0|0||||
138|4|0|20|1|Cyclopean Visor|player_faceitem.rttex|-1870954923|0|-1|2|0|1|0|1|0|0|4|10|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
139|4|0|19|1|Cyclopean Visor Seed|player_faceitem.rttex|-1870954923|0|-1|2|0|1|0|0|120|2|4|10|200||0|400|||||5|10|5|2|-2115764225|186449919|0|1300|0|0||||
140|4|0|20|1|Biker Stache|player_faceitem.rttex|-1870954923|0|-1|3|0|1|0|1|0|0|4|6|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
141|4|0|19|1|Biker Stache Seed|player_faceitem.rttex|-1870954923|0|-1|3|0|1|0|0|120|2|4|6|200||0|400|||||6|12|6|4|827425791|675308799|0|396|0|0||||
142|4|0|20|1|Shallot Mustache|player_faceitem.rttex|-1870954923|0|-1|4|0|1|0|1|0|0|4|5|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
143|4|0|19|1|Shallot Mustache Seed|player_faceitem.rttex|-1870954923|0|-1|4|0|1|0|0|120|2|4|5|200||0|400|||||7|14|7|6|1448498943|1903260159|0|275|0|0||||
144|4|0|20|1|X-Ray Specs|player_faceitem.rttex|-1870954923|4|-1|5|0|1|0|1|0|0|4|8|200||0|400|||||0|0|0|0|-1|-1|0|0|0|0||||
145|4|0|19|1|X-Ray Specs Seed|player_faceitem.rttex|-1870954923|0|-1|5|0|1|0|0|120|2|4|8|200||0|400|||||8|0|0|0|-1|2004353023|0|752|0|0||||
